"subject" "activity" "tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagmean" "tbodyaccmagstd" "tgravityaccmagmean" "tgravityaccmagstd" "tbodyaccjerkmagmean" "tbodyaccjerkmagstd" "tbodygyromagmean" "tbodygyromagstd" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "fbodyaccmeanx" "fbodyaccmeany" "fbodyaccmeanz" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccjerkmeanx" "fbodyaccjerkmeany" "fbodyaccjerkmeanz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodyaccmagmean" "fbodyaccmagstd" "fbodybodyaccjerkmagmean" "fbodybodyaccjerkmagstd" "fbodybodygyromagmean" "fbodybodygyromagstd" "fbodybodygyrojerkmagmean" "fbodybodygyrojerkmagstd"
"1" 1 "standing" -0.10638483054717 -0.96809402 -0.943959421320755 -0.954148431509434 -0.969120249433962 -0.941877954150943 -0.953642557169811 -0.916859539245283 -0.545247983886792 -0.795299838301887 0.821423907735849 0.671442553207547 0.823718000754717 -0.954034268867925 -0.996236782830189 -0.997298651132075 -0.992626794716981 -0.97054137754717 -0.948988249433962 -0.956489290754717 -0.403024993111321 -0.422094120013208 -0.427688274320755 -0.0248542255132075 -0.0177735046245283 0.0203382400698113 0.145546169698113 0.112484857856604 -0.129092086056604 0.174924945120755 -0.0690437634150943 0.172870921176038 -0.0823417714018868 0.0747804226075472 -0.183420281844528 -0.140842707358491 -0.442291091509434 -0.161568804773585 -0.0249844298679245 0.0231251676792453 0.771062527358491 -0.971067799245283 -0.975271998113208 -0.97075462754717 -0.97183772509434 -0.975689171132075 -0.972285617924528 -0.0821811788679245 0.00251834547169811 0.761222236415094 0.00870308484905661 0.0425581904339623 0.763642036226415 0.222471083924528 -0.642449514716981 -0.676946900377358 0.324862780188679 -0.973876189433962 -0.977522300377359 -0.977379281132076 -0.583774936339623 -0.734342516037736 -0.57954647790566 -0.560041903396226 0.578318062264151 -0.596562998301887
"2" 2 "sitting" -0.10635786423913 -0.981658229130435 -0.945859565 -0.961947485652174 -0.982659252173913 -0.944917549782609 -0.960252797391304 -0.92920218673913 -0.534376373043478 -0.803240228695652 0.830871457826087 0.683352223043478 0.830159479130435 -0.959900524782609 -0.997898578695652 -0.994483241521739 -0.993336016956522 -0.983762709347826 -0.953606184130435 -0.960082235434783 -0.583460249869565 -0.500135698021739 -0.55635695 0.189018917265217 -0.0773204715217391 0.0314396368152174 0.0586234665130435 0.160719264880435 -0.0939394510673913 0.138896253769565 -0.00724219254782609 0.246272478104348 -0.117104763213043 0.094372895173913 -0.0812060892130435 -0.130172208043478 -0.0783582004695652 0.177490406771739 0.768182340869565 0.012057297173913 0.209002620221739 -0.969195584782609 -0.95563076826087 -0.968758440434783 -0.969857651956522 -0.957492117391304 -0.96945159826087 0.70475223326087 -0.00369558652173913 0.206195173386522 0.781703265 0.0230284243478261 0.204325978224565 0.128019738369565 0.512673940478261 -0.736342275434783 -0.817700872391304 -0.971753020869565 -0.962864056521739 -0.970876512173913 -0.658374822023913 -0.694848010819565 -0.778122238393478 -0.511307774282609 0.523581237630435 -0.53579583273913
"3" 3 "laying" -0.109290574145161 -0.352623631596774 -0.084250185005 -0.308259404032258 -0.374564351887097 -0.104728387609677 -0.305128127741935 -0.16501560826129 -0.0924604781064516 -0.332160868548387 0.33828402 0.175034717287097 0.460285943225806 -0.206140212354839 -0.772444575806452 -0.826002108064516 -0.766175811612903 -0.427010680645161 -0.316817006451613 -0.275938946525806 0.382060418709677 0.225599256177419 0.124324948919355 -0.483539528306452 0.358282626656452 -0.0448022410854839 -0.0173275014258065 -0.267282070120968 0.262136205596774 0.100244846808065 -0.200073789183274 -0.32598948233871 0.260590282462903 0.0521765602483871 -0.2769755177 0.0537822986854839 -0.155415320727419 0.212235733516129 0.855009657096774 -0.118436839096774 -0.136867928822581 -0.981040246129032 -0.970720467419355 -0.956621584516129 -0.981411492258065 -0.971320519193548 -0.958240661612903 0.787982345 -0.134129158354839 -0.134079292516129 0.870140074032258 -0.0992034294354839 -0.144907627419355 -0.0698908514883871 0.695367728064516 -0.850844731451613 -0.880120327580645 -0.982958441774194 -0.97410125483871 -0.961468631935484 -0.568430888870968 -0.972222853548387 -0.96236969983871 -0.440224964193548 0.499839870322581 -0.556536856451613
"4" 4 "walking" -0.100034945433333 -0.972286534 -0.885022703833333 -0.9053274015 -0.975774408666667 -0.885759436833333 -0.900539473 -0.917423612 -0.497629330583333 -0.763399852 0.809612683666667 0.650394082 0.806028867666667 -0.915650256333333 -0.997100727 -0.984398441 -0.972783736166667 -0.981488102 -0.908110076666667 -0.896728858333333 -0.487185710823333 -0.36074288425 -0.340212337283333 0.101857809111667 0.00737690203833333 0.0139969027416667 0.0849220074 0.00818415797166667 0.00189144804333333 0.110674357718333 0.0636007462483333 0.142454047383333 -0.0805130734113333 0.112674320389333 -0.123551446925 -0.0497544493475 -0.2753209873 0.12392754195 0.6715840945 0.205996215453 0.2104310521 -0.963593372166667 -0.929706275666667 -0.925239472166667 -0.964572179833333 -0.932030988166667 -0.927227443666667 0.6118709435 0.193196742583333 0.216426086466667 0.685825451666667 0.207344086833333 0.193381987166667 -0.0738910933166667 0.417796526841667 -0.692870374833333 -0.793784362 -0.966859641 -0.9392970835 -0.9331281865 -0.704260446941667 -0.511892201616667 -0.5810342384 -0.449555915441667 0.468077286833333 -0.486684858883333
"5" 5 "walkingdownstairs" -0.125995959255319 -0.0693544287321277 0.0351492440851064 -0.344793148408511 -0.113546243965957 0.0244466491276596 -0.368029662106383 0.147901419617021 0.012090728593617 -0.386733781702128 0.0882553466914894 0.105827231119149 0.31370779962766 -0.0369076391978723 -0.42520306412766 -0.734659094468085 -0.74694514787234 -0.185696937319149 -0.168167568021277 -0.417024200042553 0.260982881893617 0.106164518302128 -0.0155572360851064 -0.321259774468085 0.259584439638298 -0.131786416956809 0.135311193785106 -0.122756064623404 0.1569730423 0.105365105970213 0.0311423490553192 0.107832663121277 0.0663189205255319 0.0521088537446809 -0.16633636906383 -0.23306438087234 -0.18297483092766 0.14387442436383 0.557750686595745 -0.0360777523404255 0.0875095486808511 -0.935943781702128 -0.944441118297872 -0.927212787021277 -0.936936961489362 -0.945178873191489 -0.927379751914894 0.509076697446809 -0.0454613189361702 0.0950510782297872 0.565143134468085 -0.0246433859574468 0.0725962953829787 -0.0717144527446808 0.418991159148936 -0.697795646787234 -0.782253667687234 -0.938500480425532 -0.947549053191489 -0.929805780638298 -0.503941284993617 -0.920375132553191 -0.92670134212766 -0.538166432319149 0.603361381702128 -0.667142600212766
"6" 6 "walkingupstairs" -0.110652720078431 -0.947796266470588 -0.917738302901961 -0.915479479607843 -0.950501284117647 -0.918539704044314 -0.912483105294118 -0.882377240823529 -0.528837453568627 -0.771945988235294 0.804075305294118 0.647440307254902 0.800215938823529 -0.924406670980392 -0.989915898431373 -0.990912513529412 -0.981779052156863 -0.956036027058824 -0.933014394686275 -0.909847234313725 -0.303170413823529 -0.430421317862745 -0.366342376039216 -0.0150304680960784 0.0292437001 -0.031439215754902 0.109925391576471 0.059087891124902 -0.0288540791268627 0.184613433058824 -0.100447555382353 0.10916927445098 -0.0775891584607843 0.123433869470588 -0.13356175325098 0.222865369374118 -0.358656084254902 -0.214369274729412 0.318573724705882 0.288331576352941 0.406680682196078 -0.973499895882353 -0.97799495 -0.952663527647059 -0.973384273333333 -0.979070990392157 -0.95410736745098 0.25611043254902 0.26164037383902 0.404570492862745 0.343743988627451 0.305712698117647 0.396327438313725 0.0585922998039216 -0.112423173333333 -0.608862172745098 -0.27906935254902 -0.972895943333333 -0.982100403921569 -0.957280569411765 -0.639944193254902 -0.807296093313726 -0.741187900607843 -0.531487053137255 0.550503459019608 -0.569459972156863
"7" 7 "standing" -0.109366563113208 -0.969135292075472 -0.963263440188679 -0.959785614339623 -0.971113940566038 -0.965455431320755 -0.958223418867925 -0.913729304339623 -0.546706447358491 -0.802578003584906 0.824068957924528 0.676050586226415 0.825011923396226 -0.96258352490566 -0.99790177245283 -0.998988529245283 -0.997232824716981 -0.973848539622642 -0.97437322490566 -0.955453696415094 -0.340990856433962 -0.51266327509434 -0.431910708301887 0.0206360916424528 -0.0752865254433962 0.0622257752654717 0.0246061260830189 0.119093001541509 -0.102954747477358 0.215448240603774 0.0346218755735849 0.131005864830189 -0.0628465352075472 0.101836914886604 -0.187786199007547 0.117505474845283 -0.600565836207547 -0.226374031245283 0.0167971254716981 0.511512796603774 0.673006423396226 -0.958877653773585 -0.986445677358491 -0.96906055509434 -0.959587632075472 -0.986688179056604 -0.969527651320755 -0.0390539094528302 0.474064707358491 0.666037819622642 0.0438186690754717 0.526246121886792 0.668129062075472 0.404776718943396 -0.560475353962264 -0.383780542264151 -0.0353770264150943 -0.961819930754717 -0.987384209245283 -0.970648173396226 -0.538903976301887 -0.715431561132076 -0.536158712641509 -0.657021332075472 0.661857184150943 -0.666480434528302
"8" 8 "sitting" -0.111977760652174 -0.964247905869565 -0.916948564130435 -0.940808991086956 -0.967454794347826 -0.917234029782609 -0.939255143695652 -0.898341595 -0.524125732173913 -0.790339069130435 0.817803372173913 0.661067257173913 0.809233557608696 -0.938789785434783 -0.99635102826087 -0.98803051826087 -0.993422457391304 -0.972344283913044 -0.934865244565217 -0.939274772173913 -0.464983985152174 -0.524466062513044 -0.403627806304348 0.0967686765130435 -0.0307432417097826 -0.0036590738173913 0.102921715097826 0.124977787180435 -0.0814539764369565 0.136342285471739 0.10696957955587 0.220237870913043 -0.0870712295717391 0.0960275076695652 -0.0969099020086956 0.0846677412406522 -0.0833089475652174 -0.0402537525217391 0.363517635217391 0.225345455 0.360744236326087 -0.959834392391304 -0.950845469045652 -0.952038177173913 -0.96010246173913 -0.951985137847826 -0.953214783695652 0.304993484130435 0.206202555543478 0.362645122152174 0.382637514782609 0.233949066108696 0.353448580608696 -0.134497764469565 0.182027198695652 -0.821296537173913 -0.373953205 -0.960452800217391 -0.955767223043478 -0.957227775652174 -0.965705850652174 -0.633544253695652 -0.693843575065217 -0.537613372391304 0.550499242086957 -0.563202305369565
"9" 9 "laying" -0.10056052188 -0.15940269487 0.01407128558 -0.34668872406 -0.214858215 -0.008199728838 -0.325559994064 0.06004250862 -0.052123934784 -0.368310738 0.172262171062 0.045424853748 0.4656830216 -0.093650030012 -0.603388236358 -0.788360894 -0.7966510432 -0.31379107596 -0.257814449388 -0.3131469389098 0.40874362988 0.28214410344 0.104205377314 -0.4682152594 0.35280270538 -0.18787777742 0.1642960312144 -0.27257310858 0.229304703142 0.0500884178082 0.036173227604 -0.32696695776 0.276265895852 -0.111998719972 -0.127266528314 -0.36239320246 -0.2030118785094 0.31253292058 0.9210453676 -0.236622778748 -0.079523642528458 -0.9460196852 -0.9028223434 -0.9008079982 -0.9471485154 -0.903637699 -0.9023537066 0.867021839 -0.230672631828 -0.066477471232 0.922061166 -0.235101587654 -0.102990286912 -0.1885411092 0.790960224 -0.8640189606 -0.9608192168 -0.9500265138 -0.9071964756 -0.9103489638 -0.53154044152 -0.8505242178 -0.7553007548 -0.639064145 0.6873153768 -0.7345211094
"10" 10 "walking" -0.119449471415094 -0.475242037390566 -0.314691691716981 -0.647842771886792 -0.514183441981132 -0.336545727339623 -0.640194694150943 -0.277508739509434 -0.217968911256604 -0.575331368301887 0.446770173322642 0.252229445679245 0.632465216981132 -0.440231101726415 -0.753038262641509 -0.847478719056604 -0.907408437735849 -0.607150704849057 -0.506486352871698 -0.638696148301887 -0.12220869929434 -0.013926723490566 -0.146098947082264 -0.210889966339623 0.201743676858491 -0.0399504823018868 0.0920409391207547 -0.160680456633962 0.0784827477226415 0.230572216966038 -0.106721688571698 -0.121820679792453 0.0613059549622641 0.127576193396226 -0.23165514879434 -0.0937845631679245 -0.215269293943396 0.193080393469811 0.93399688754717 -0.272895162075472 0.0434029854716981 -0.974297629811321 -0.942816613962264 -0.938569147358491 -0.975039994339623 -0.942931948679245 -0.940520913396226 0.868980536415094 -0.275974118679245 0.0492521563867925 0.945297632641509 -0.257915685849057 0.0299956474964151 -0.188812516320755 0.822997579433962 -0.86660435 -0.98685500754717 -0.976979295660377 -0.94348828490566 -0.946818092641509 -0.657904662886793 -1 -0.633101777716981 -0.44937754754717 0.489215718396226 -0.528130804490566
